item,type,season,seed_price,growth_time,regrowth_time,second_season_harvest,yield_per_harvest,number_harvests,speed-gro_number_harvest ,deluxe_speed-gro_number_harvest ,hyper_speed-gro_number_harvest ,agriculturalist_speed-gro_number_harvest ,agriculturalist_deluxe-gro_number_harvest ,agriculturalist_hyper-gro_number_harvest ,base_price,base_price_silver,base_price_gold,base_price_iridium,tiller_price,tiller_price_silver,tiller_price_gold,tiller_price_iridium,keg_product,keg_base_price,keg_base_price_silver,keg_base_price_gold,keg_base_price_iridium,artisan_keg_price,artisan_keg_price_silver,artisan_keg_price_gold,artisan_keg_price_iridium,perserves_jar_product,perserves_base_jar_price,artisan_preserves_jar_price,dehydrator_product,dehydrator_base_price,dehydrator_base_price_silver,dehydrator_base_price_gold,dehydrator_base_price_iridium,artisan_dehydrator_base_price,artisan_dehydrator_base_price_silver,artisa_dehydrator_base_price_gold,artisan_dehydrator_base_price_iridium
wheat,vegetable,summer,10,4,,,1,6,9,9,13,9,13,13,25,31,37,50,27,34,40,55,beer,200,250,300,400,280,350,420,560,pickles,100,140,,,,,,,,,
wheat,vegetable,fall,10,4,,,1,6,9,9,13,9,13,13,25,31,37,50,27,34,40,55,beer,200,250,300,400,280,350,420,560,pickles,100,140,,,,,,,,,
coffee_bean,other,spring,2500,10,2,14,4,9,10,11,11,11,11,12,15,18,22,30,,,,,coffee ,30,,,,32,,,,,,,,,,,,,,,
coffee_bean,other,summer,2500,10,2,14,4,9,10,11,11,11,11,12,15,18,22,30,,,,,coffee ,30,,,,32,,,,,,,,,,,,,,,
tea_leaves,vegetable,summer,250,20,1,7,1,7,,,,,,,50,,,,55,68,82,110,green_tea,112,,,,140,,,,pickles,150,210,,,,,,,373,1.4,1.4
tea_leaves,vegetable,fall,250,20,1,7,1,7,,,,,,,50,,,,55,68,82,110,green_tea,112,,,,140,,,,pickles,150,210,,,,,,,,,
tea_leaves,vegetable,spring,250,20,1,7,1,7,,,,,,,50,,,,55,68,82,110,green_tea,112,,,,140,,,,pickles,150,210,,,,,,,,,
pumpkin,vegetable,fall,100,13,,,1,2,2,3,3,2,3,3,320,400,480,640,352,440,528,704,juice,720,,,,1008,,,,pickles,690,966,,,,,,,,,
red_cabbage,vegetable,summer,100,9,,,1,3,3,4,4,3,5,5,260,325,390,520,286,357,429,572,juice,585,,,,819,,,,pickles,570,798,,,,,,,,,
cauliflower,vegetable,spring,80,12,,,1,2,2,3,3,3,3,4,175,218,262,350,192,240,288,385,juice,393,,,,550,,,,pickles,400,560,,,,,,,,,
yam,vegetable,fall,60,10,,,1,2,3,3,4,3,4,5,160,200,240,320,176,220,264,352,juice,360,,,,504,,,,pickles,370,518,,,,,,,,,
artichoke,vegetable,fall,60,8,,,1,3,3,4,5,4,5,6,160,200,240,320,176,220,264,352,juice,360,,,,504,,,,pickles,370,518,,,,,,,,,
amaranth,vegetable,fall,70,7,,,1,3,4,5,6,5,6,9,150,187,225,300,165,205,247,330,juice,337,,,,471,,,,pickles,350,490,,,,,,,,,
kale,vegetable,spring,70,6,,,1,4,5,6,6,6,9,9,110,137,165,220,121,151,181,242,juice,247,,,,345,,,,pickles,270,378,,,,,,,,,
taro_root_(unirrigated),vegetable,summer,24,10,,,1,2,3,3,4,3,4,5,100,125,150,200,110,137,165,220,juice,225,,,,315,,,,pickles,250,350,,,,,,,137,478,1.4
snow_yam,foragable,winter,38,7,,,1,3,4,5,6,5,6,9,100,125,150,200,,,,,juice,225,,,,315,,,,pickles,250,350,,,,,,,,,
taro_root_(irrigated),vegetable,summer,24,7,,,1,3,4,5,6,5,6,9,100,125,150,200,110,137,165,220,juice,225,,,,315,,,,pickles,250,350,,,,,,,,,
beet,vegetable,fall,20,6,,,1,4,5,6,6,66,9,9,100,125,150,200,110,137,165,220,juice,225,,,,315,,,,pickles,250,350,,,,,,,,,
hazelnut,foragable,fall,23,7,,,1,3,4,5,6,5,6,9,90,112,135,180,,,,,juice,202,,,,283,,,,pickles,230,322,,,,,,,1.4,1.4,1.4
radish,vegetable,summer,40,6,,,1,4,5,6,6,6,9,9,90,112,135,180,99,123,148,198,juice,202,,,,282,,,,pickles,230,322,,,,,,,,,
fiddlehead_fern,foragable,summer,,,,,,,,,,,,,90,112,135,180,,,,,juice,202,,,,283,,,,pickles,230,322,,,,,,,201,242,1.4
potato,vegetable,spring,50,6,,,1.2,4,5,6,6,6,9,9,80,100,120,160,88,110,132,176,juice,180,,,,252,,,,pickles,210,294,,,,,,,662,793,1.4
bok_choy,vegetable,fall,50,4,,,1,6,9,9,13,9,13,13,80,100,120,160,88,110,132,176,juice,180,,,,252,,,,pickles,210,294,,,,,,,793,1.4,1.4
broccoli,vegetable,fall,25,8,4,,1,5,6,6,6,6,6,6,70,87,105,140,77,95,115,154,juice,157,,,,219,,,,pickles,190,266,,,,,,,,,
winter_root,foragable,winter,38,7,,,1,3,4,5,6,5,6,9,70,87,105,140,,,,,juice,157,,,,220,,,,pickles,190,266,,,,,,,,,
tomato,vegetable,summer,50,11,4,,1,5,5,5,6,5,6,6,60,75,90,120,66,82,99,132,juice,135,,,,189,,,,pickles,170,238,,,,,,,,,
leek,foragable,spring,18,7,,,1,3,4,5,6,5,6,7,60,75,90,120,,,,,juice,135,,,,189,,,,pickles,170,238,,,,,,,374,1.4,1.4
eggplant,vegetable,fall,20,5,5,,1,5,5,5,5,5,5,6,60,75,90,120,66,82,99,132,juice,135,,,,189,,,,pickles,170,238,,,,,,,788,1.4,1.4
garlic,vegetable,spring,40,4,,,1,6,9,9,13,9,13,13,60,75,90,120,66,82,99,132,juice,135,,,,189,,,,pickles,170,238,,,,,,,1.4,1.4,1.4
wild_horseradish,foragable,spring,18,7,,,1,3,4,5,6,5,6,,50,62,75,100,,,,,juice,112,,,,157,,,,pickles,150,210,,,,117,155,,268,163.8,217
corn,vegetable,summer,150,14,,7,1,4,4,5,5,5,5,6,50,62,75,100,55,68,82,110,juice,112,,,,256,,,,pickles,150,210,,,,,,,,,
corn,vegetable,fall,150,14,,7,1,4,4,5,5,5,5,6,50,62,75,100,55,68,82,110,juice,112,,,,156,,,,pickles,150,210,,,,,,,,,
summer_squash,vegetable,summer,30,6,3,,1,8,8,8,8,8,9,9,45,56,67,90,49,61,73,98,juice,101,,,,141,,,,pickles,140,196,,,,,,,,,
green_bean,vegetable,spring,60,10,3,,1,6,7,7,8,7,8,8,40,50,60,80,44,55,66,88,juice,90,,,,126,,,,pickles,130,183,,,,,,,,,
parsnip,vegetable,spring,20,4,,,1,6,9,9,13,9,13,13,35,43,52,70,38,47,57,77,juice,78,,,,109,,,,pickles,120,168,,,,,,,,,
carrot,vegetable,spring,5,3,,,1,9,13,13,13,13,27,27,35,43,52,70,38,47,57,76,juice,78,,,,109,,,,pickles,120,168,,,,,,,,,
spring_onion,foragable,spring,,,,,1,,,,,,,,8,10,12,16,40,50,60,80,juice,18,,,,25,,,,pickles,66,92.4,,,,,,,,,
hops,vegetable,summer,60,11,1,,1,17,19,20,21,20,21,21,25,31,37,50,27,34,40,54,pale_ale,300,375,450,600,420,525,630,840,pickles,100,140,,,,,,,,,
rice_(unirrigated),vegetable,spring,20,8,,,1.61,3,3,4,5,4,5,6,30,37,45,60,33,40,49,66,vinegar,100,,,,93,,,,pickles,110,154,,,,,,,,,
rice_(irrigated),vegetable,spring,20,6,,,1.61,4,5,6,9,6,9,13,30,37,45,60,33,40,49,66,vinegar,100,,,,93,,,,pickles,110,154,,,,,,,,,
starfruit,fruit,summer,400,13,,,1,2,2,3,3,2,3,3,750,937,1125,1500,825,1030,1237,1650,wine,2250,2812,3375,4500,3150,3937,4725,6300,jelly,1550,2170,dried_fruit,1130,1410,1692,2255,1582,,,
ancient_fruit,fruit,spring,,28,7,4,1,4,1,1,2,1,2,2,550,687,825,1100,605,755,907,1210,wine,1650,2062,2475,3300,2310,2887,3465,4620,jelly,1150,1610,dried_fruit,830,1035,1242,1655,1162,,,
ancient_fruit,fruit,summer,,28,7,4,1,4,1,1,2,1,2,2,550,687,825,1100,605,755,907,1210,wine,1650,2062,2475,3300,2310,2887,3465,4620,jelly,1150,1610,dried_fruit,830,1035,1242,1655,1162,,,
ancient_fruit,fruit,fall,,28,7,4,1,4,1,1,2,1,2,2,550,687,825,1100,605,755,907,1210,wine,1650,2062,2475,3300,2310,2887,3465,4620,jelly,1150,1610,dried_fruit,830,1035,1242,1655,1162,,,
pineapple,fruit,summer,400,14,7,,1,4,3,3,3,3,3,3,300,375,450,600,330,412,495,660,wine,900,1125,1350,1800,1260,1575,1890,2520,jelly,650,910,dried_fruit,455,567,680,905,637,,,
melon,fruit,summer,80,12,,,1,2,2,3,3,3,3,4,250,312,375,500,275,343,412,550,wine,750,937,1125,1500,1050,1312,1575,2100,jelly,550,770,dried_fruit,380,473,567,755,532,59,793.8,1057
rhubarb,fruit,spring,100,13,,,1,2,2,3,3,2,3,3,220,275,330,440,242,302,363,484,wine,660,825,990,1320,924,1155,1386,1848,jelly,490,686,dried_fruit,335,417,500,665,469,662,793,931
banana,tree,summer,2500,28,,,1,28,,,,,,,150,187,225,300,165,205,247,330,wine,450,562,675,900,630,787,945,1260,jelly,350,490,dried_fruit,230,285,2030,455,322,399,478,637
crystal_fruit,foragable,winter,38,7,,,1,3,4,5,6,5,6,9,150,62,225,300,,,,,wine,450,562,675,900,630,787,945,1260,jelly,350,490,dried_fruit,230,98,342,455,322,,,
pomegranate,tree,fall,6000,28,1,,1,28,,,,,,,140,175,210,280,154,192,231,308,wine,420,525,630,840,588,735,882,1176,jelly,330,462,dried_fruit,215,267,1895,425,301,373.8,2653,595
peach,tree,summer,6000,28,,,1,28,,,,,,,140,175,210,280,154,192,231,308,wine,420,525,630,840,588,735,882,1176,jelly,330,462,dried_fruit,215,267,1895,425,301,373.8,2653,595
mango,tree,summer,2250,28,,,1,28,,,,,,,130,162,195,260,143,178,214,286,wine,390,487,585,780,546,682,819,1092,jelly,310,434,dried_fruit,200,248,1760,395,280,347.2,2464,553
strawberry,fruit,spring,100,8,4,,1,5,6,6,6,6,6,6,120,150,180,240,132,165,198,264,wine,360,450,540,720,504,630,756,1008,jelly,290,406,dried_fruit,185,230,275,365,259,322,385,511
apple,tree,fall,4000,28,1,,1,28,,,,,,,100,125,150,200,110,137,165,220,wine,300,375,450,600,420,525,630,840,jelly,250,350,dried_fruit,155,192,1355,305,217,,,
orange,tree,summer,4000,28,,,1,28,,,,,,,100,125,150,200,110,137,165,220,wine,300,375,450,600,420,525,630,840,jelly,250,350,dried_fruit,155,192,1355,305,217,,,
grape,fruit,fall,60,10,3,,1,6,7,7,8,7,8,8,80,100,120,160,88,110,132,176,wine,240,300,360,480,336,420,504,672,jelly,210,294,raisins,120,120,120,120,168,583,168,168
cherry,tree,spring,3400,28,1,,1,28,,,,,,,80,100,120,160,88,110,132,176,wine,240,300,360,480,336,420,504,672,jelly,210,294,dried_fruit,125,155,1085,245,175,217,1519,343
wild_plum,foragable,fall,23,7,,,1,3,4,5,6,5,6,9,80,100,120,160,,,,,wine,240,300,360,480,336,420,504,672,jelly,210,294,dried_fruit,125,155,185,245,175,217,1519,343
spice_berry,foragable,summer,21,7,,,1,3,4,5,6,5,6,9,80,100,120,160,,,,,wine,240,300,360,480,336,420,504,672,jelly,210,294,dried_fruit,125,155,185,245,175,217,1519,343
cactus_fruit,fruit,indoors,150,12,3,9,1,6,6,7,7,7,7,8,75,93,112,150,82,102,123,165,wine,225,281,337,450,315,393,471,630,jelly,200,280,dried_fruit,117,144,173,230,163,163,242.2,322
cranberries,fruit,fall,240,7,5,,2,5,5,5,5,5,5,5,75,93,112,150,82,102,123,165,wine,225,281,337,450,315,393,471,630,jelly,200,280,dried_fruit,117,144,173,230,164,201.6,242.2,322
powdermelon,fruit,winter,10,7,,,1,3,4,5,6,5,6,9,60,75,90,120,66,82,99,132,wine,180,225,270,360,252,315,378,504,jelly,170,238,dried_fruit,95,117,140,185,133,,,
apricot,tree,spring,2000,28,1,,1,28,,,,,,,50,62,75,100,55,68,82,110,wine,150,187,225,300,210,262,315,420,jelly,150,210,dried_fruit,80,98,680,155,112,2363,952,217
blueberry,fruit,summer,80,13,4,,3,4,5,5,5,5,5,6,50,62,75,100,55,68,82,110,wine,150,187,225,300,210,262,315,420,jelly,150,210,dried_fruit,80,98,117,155,112,2048,163.8,217
hot_pepper,fruit,summer,40,5,,,1,8,8,9,9,8,9,9,40,50,60,80,44,55,66,88,wine,120,150,180,240,168,210,252,336,jelly,130,182,dried_fruit,65,80,95,125,91,,,
blackberry,foragable,fall,23,7,,,1,3,4,5,6,5,6,9,20,25,30,40,,,,,wine,60,75,90,120,84,105,126,168,jelly,90,126,dried_fruit,35,42,50,65,49,,,
